"","RF_029_AKC","RF_055_RJ","RF_061_AJ","RF_071_IT","RF_081_MS","RF_083_SS","RF_089_RT","RF_091_KB","RF_101_HJ","RF_108_RA","RF_110_SE","RF_113_SV","RF_114_NJ","RF_141_AMM","RF_154_SP","RF_158_AK","RF_159_KH","RF_173_DP","RF_175_MS","RF_189_BN","RF_200_KAP","RF_210_RWP","RF_212_FF","RF_219_ME","RF_231_ED","RF_232_HB","RF_233_AN","RF_238_AF","RF_240_EJB"
"ASV1",140,288,249,201,349,289,633,386,572,498,487,270,220,265,439,395,613,433,317,182,93,13,51,50,122,264,305,296,80
"ASV2",12,13,3654,14,28,37,56,12,33,69,73,15,0,0,34,37,1058,50,46,13,773,0,0,1270,12,0,0,1374,711
"ASV3",34,390,533,297,485,520,1080,285,850,587,766,542,345,355,411,342,548,827,294,251,194,0,56,79,139,337,215,194,103
"ASV4",235,67,176,38,164,71,150,74,117,136,96,66,52,247,55,92,225,111,112,106,729,34,685,0,60,71,440,0,543
"ASV5",88,142,131,99,150,150,300,197,222,262,243,124,83,144,116,182,135,243,84,59,25,0,0,0,44,119,40,86,45
"ASV6",63,160,248,135,212,272,532,171,371,364,267,218,170,228,164,182,289,392,146,131,38,0,25,31,44,138,98,118,61
"ASV7",0,0,0,0,0,0,45,0,95,0,0,0,0,749,0,0,0,0,0,0,0,21,235,0,0,0,73,0,0
"ASV8",53,134,166,101,128,184,352,117,236,275,248,163,109,131,100,85,167,259,99,103,35,2,23,15,31,97,83,73,35
"ASV9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,22,0,0,0,164,67,0,9,0,0,0
"ASV10",79,99,274,94,100,118,304,89,195,220,181,149,85,134,100,121,164,203,77,79,33,0,20,17,36,60,62,35,75
"ASV11",0,0,512,0,0,0,541,0,0,0,51,0,0,0,0,0,229,0,0,0,287,0,0,333,0,0,0,1164,489
"ASV12",0,0,0,0,0,0,26,0,13,0,73,0,0,0,516,0,181,43,736,16,0,25,38,0,0,0,376,0,0
"ASV13",0,0,60,0,0,40,0,0,84,0,0,207,89,0,45,62,100,173,0,369,42,0,68,159,73,230,0,93,838
"ASV14",0,79,121,112,71,115,242,61,163,127,169,150,92,88,117,99,140,142,63,47,75,0,22,28,49,73,82,67,32
"ASV15",0,22,18,18,31,42,27,0,0,0,0,0,0,24,0,0,181,39,0,981,6,31,0,4,190,0,0,0,0
"ASV16",0,45,92,0,45,0,0,81,0,0,67,68,0,0,78,56,51,41,129,0,0,0,0,190,0,105,0,0,3841
"ASV17",0,0,0,0,0,0,0,0,0,32,38,41,0,0,0,557,870,0,322,289,0,0,45,0,1,0,482,0,0
"ASV18",0,87,126,62,100,87,204,48,156,119,125,110,54,78,69,61,89,147,63,54,0,0,0,0,0,57,42,0,0
"ASV19",136,51,160,31,94,78,141,27,78,88,127,96,48,46,107,51,107,100,43,42,0,0,0,0,32,64,0,275,127
"ASV20",81,54,0,51,71,65,129,49,101,83,60,76,0,63,49,47,49,98,0,31,0,0,13,0,15,85,90,37,35
"ASV21",9,42,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,1982,0,0,184,72,0,0,0,0
"ASV22",0,68,0,0,4,0,0,27,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,43,0,0,17,0
"ASV23",52,9,0,0,0,9,0,0,30,0,28,6,0,0,0,108,322,0,16,0,368,14,13,95,47,0,119,102,28
"ASV24",16,0,0,0,5,11,0,0,56,61,0,0,0,0,32,49,179,0,0,0,0,0,27,48,449,0,341,85,0
"ASV25",0,81,0,0,24,0,0,48,0,0,39,0,0,0,76,0,0,0,0,0,0,0,0,0,0,40,0,0,0
